Time,Port,Metric,Value
2026-05-06 20:38:00.000,0,imissed,0
2026-05-06 20:38:00.000,0,ierrors,0
2026-05-06 20:38:00.000,0,oerrors,0
2026-05-06 20:38:00.000,0,rx_nombuf,0
2026-05-06 20:38:00.000,0,obytes,0
2026-05-06 20:38:00.000,0,opackets,0
2026-05-06 20:38:00.000,0,ibytes,538
2026-05-06 20:38:00.000,0,ipackets,2
2026-05-06 20:38:00.000,n,Value,1
2026-05-06 20:38:01.000,0,imissed,0
2026-05-06 20:38:01.000,0,ierrors,0
2026-05-06 20:38:01.000,0,oerrors,0
2026-05-06 20:38:01.000,0,rx_nombuf,0
2026-05-06 20:38:01.000,0,obytes,0
2026-05-06 20:38:01.000,0,opackets,0
2026-05-06 20:38:01.000,0,ibytes,538
2026-05-06 20:38:01.000,0,ipackets,2
2026-05-06 20:38:01.000,n,Value,1
2026-05-06 20:38:02.000,0,imissed,0
2026-05-06 20:38:02.000,0,ierrors,0
2026-05-06 20:38:02.000,0,oerrors,0
2026-05-06 20:38:02.000,0,rx_nombuf,0
2026-05-06 20:38:02.000,0,obytes,0
2026-05-06 20:38:02.000,0,opackets,0
2026-05-06 20:38:02.000,0,ibytes,538
2026-05-06 20:38:02.000,0,ipackets,2
2026-05-06 20:38:02.000,n,Value,1
2026-05-06 20:38:03.000,0,imissed,0
2026-05-06 20:38:03.000,0,ierrors,0
2026-05-06 20:38:03.000,0,oerrors,0
2026-05-06 20:38:03.000,0,rx_nombuf,0
2026-05-06 20:38:03.000,0,obytes,0
2026-05-06 20:38:03.000,0,opackets,0
2026-05-06 20:38:03.000,0,ibytes,538
2026-05-06 20:38:03.000,0,ipackets,2
2026-05-06 20:38:03.000,n,Value,1
2026-05-06 20:38:04.000,0,imissed,0
2026-05-06 20:38:04.000,0,ierrors,0
2026-05-06 20:38:04.000,0,oerrors,0
2026-05-06 20:38:04.000,0,rx_nombuf,0
2026-05-06 20:38:04.000,0,obytes,0
2026-05-06 20:38:04.000,0,opackets,0
2026-05-06 20:38:04.000,0,ibytes,538
