Time,Port,Metric,Value
2026-05-19 12:34:39.000,0,opackets,0
2026-05-19 12:34:39.000,0,imissed,0
2026-05-19 12:34:39.000,0,ipackets,2
2026-05-19 12:34:39.000,0,rx_nombuf,0
2026-05-19 12:34:39.000,0,oerrors,0
2026-05-19 12:34:39.000,0,obytes,0
2026-05-19 12:34:39.000,0,ierrors,0
2026-05-19 12:34:39.000,0,ibytes,538
2026-05-19 12:34:39.000,n,Value,1
2026-05-19 12:34:40.000,0,opackets,0
2026-05-19 12:34:40.000,0,imissed,0
2026-05-19 12:34:40.000,0,ipackets,3
2026-05-19 12:34:40.000,0,rx_nombuf,0
2026-05-19 12:34:40.000,0,oerrors,0
2026-05-19 12:34:40.000,0,obytes,0
2026-05-19 12:34:40.000,0,ierrors,0
2026-05-19 12:34:40.000,0,ibytes,871
2026-05-19 12:34:40.000,n,Value,1
2026-05-19 12:34:41.000,0,opackets,0
2026-05-19 12:34:41.000,0,imissed,0
2026-05-19 12:34:41.000,0,ipackets,3
2026-05-19 12:34:41.000,0,rx_nombuf,0
2026-05-19 12:34:41.000,0,oerrors,0
2026-05-19 12:34:41.000,0,obytes,0
2026-05-19 12:34:41.000,0,ierrors,0
2026-05-19 12:34:41.000,0,ibytes,871
2026-05-19 12:34:41.000,n,Value,1
2026-05-19 12:34:42.000,0,opackets,0
2026-05-19 12:34:42.000,0,imissed,0
2026-05-19 12:34:42.000,0,ipackets,3
2026-05-19 12:34:42.000,0,rx_nombuf,0
2026-05-19 12:34:42.000,0,oerrors,0
2026-05-19 12:34:42.000,0,obytes,0
2026-05-19 12:34:42.000,0,ierrors,0
2026-05-19 12:34:42.000,0,ibytes,871
2026-05-19 12:34:42.000,n,Value,1
2026-05-19 12:34:43.000,0,opackets,0
2026-05-19 12:34:43.000,0,imissed,0
2026-05-19 12:34:43.000,0,ipackets,3
2026-05-19 12:34:43.000,0,rx_nombuf,0
2026-05-19 12:34:43.000,0,oerrors,0
2026-05-19 12:34:43.000,0,obytes,0
2026-05-19 12:34:43.000,0,ierrors,0
2026-05-19 12:34:43.000,0,ibytes,871
