Time,Port,Metric,Value
2026-05-19 12:53:37.000,0,ibytes,1143
2026-05-19 12:53:37.000,0,imissed,0
2026-05-19 12:53:37.000,0,obytes,0
2026-05-19 12:53:37.000,0,ipackets,4
2026-05-19 12:53:37.000,0,rx_nombuf,0
2026-05-19 12:53:37.000,0,opackets,0
2026-05-19 12:53:37.000,0,oerrors,0
2026-05-19 12:53:37.000,0,ierrors,0
2026-05-19 12:53:37.000,n,Value,1
2026-05-19 12:53:38.000,0,ibytes,1143
2026-05-19 12:53:38.000,0,imissed,0
2026-05-19 12:53:38.000,0,obytes,0
2026-05-19 12:53:38.000,0,ipackets,4
2026-05-19 12:53:38.000,0,rx_nombuf,0
2026-05-19 12:53:38.000,0,opackets,0
2026-05-19 12:53:38.000,0,oerrors,0
2026-05-19 12:53:38.000,0,ierrors,0
2026-05-19 12:53:38.000,n,Value,1
2026-05-19 12:53:39.000,0,ibytes,1143
2026-05-19 12:53:39.000,0,imissed,0
2026-05-19 12:53:39.000,0,obytes,0
2026-05-19 12:53:39.000,0,ipackets,4
2026-05-19 12:53:39.000,0,rx_nombuf,0
2026-05-19 12:53:39.000,0,opackets,0
2026-05-19 12:53:39.000,0,oerrors,0
2026-05-19 12:53:39.000,0,ierrors,0
2026-05-19 12:53:39.000,n,Value,1
2026-05-19 12:53:40.000,0,ibytes,1143
2026-05-19 12:53:40.000,0,imissed,0
2026-05-19 12:53:40.000,0,obytes,0
2026-05-19 12:53:40.000,0,ipackets,4
2026-05-19 12:53:40.000,0,rx_nombuf,0
2026-05-19 12:53:40.000,0,opackets,0
2026-05-19 12:53:40.000,0,oerrors,0
2026-05-19 12:53:40.000,0,ierrors,0
2026-05-19 12:53:40.000,n,Value,1
2026-05-19 12:53:41.000,0,ibytes,1143
2026-05-19 12:53:41.000,0,imissed,0
2026-05-19 12:53:41.000,0,obytes,0
2026-05-19 12:53:41.000,0,ipackets,4
2026-05-19 12:53:41.000,0,rx_nombuf,0
2026-05-19 12:53:41.000,0,opackets,0
2026-05-19 12:53:41.000,0,oerrors,0
2026-05-19 12:53:41.000,0,ierrors,0
2026-05-19 12:53:41.000,n,Value,1
2026-05-19 12:53:42.000,0,ibytes,1143
2026-05-19 12:53:42.000,0,imissed,0
2026-05-19 12:53:42.000,0,obytes,0
2026-05-19 12:53:42.000,0,ipackets,4
2026-05-19 12:53:42.000,0,rx_nombuf,0
2026-05-19 12:53:42.000,0,opackets,0
2026-05-19 12:53:42.000,0,oerrors,0
2026-05-19 12:53:42.000,0,ierrors,0
2026-05-19 12:53:42.000,n,Value,1
2026-05-19 12:53:43.000,0,ibytes,1143
2026-05-19 12:53:43.000,0,imissed,0
2026-05-19 12:53:43.000,0,obytes,0
2026-05-19 12:53:43.000,0,ipackets,4
2026-05-19 12:53:43.000,0,rx_nombuf,0
2026-05-19 12:53:43.000,0,opackets,0
2026-05-19 12:53:43.000,0,oerrors,0
2026-05-19 12:53:43.000,0,ierrors,0
2026-05-19 12:53:43.000,n,Value,1
2026-05-19 12:53:44.000,0,ibytes,1143
2026-05-19 12:53:44.000,0,imissed,0
2026-05-19 12:53:44.000,0,obytes,0
2026-05-19 12:53:44.000,0,ipackets,4
2026-05-19 12:53:44.000,0,rx_nombuf,0
2026-05-19 12:53:44.000,0,opackets,0
2026-05-19 12:53:44.000,0,oerrors,0
2026-05-19 12:53:44.000,0,ierrors,0
2026-05-19 12:53:44.000,n,Value,1
2026-05-19 12:53:45.000,0,ibytes,1143
2026-05-19 12:53:45.000,0,imissed,0
2026-05-19 12:53:45.000,0,obytes,0
2026-05-19 12:53:45.000,0,ipackets,4
2026-05-19 12:53:45.000,0,rx_nombuf,0
2026-05-19 12:53:45.000,0,opackets,0
2026-05-19 12:53:45.000,0,oerrors,0
2026-05-19 12:53:45.000,0,ierrors,0
2026-05-19 12:53:45.000,n,Value,1
2026-05-19 12:53:46.000,0,ibytes,1143
2026-05-19 12:53:46.000,0,imissed,0
2026-05-19 12:53:46.000,0,obytes,0
2026-05-19 12:53:46.000,0,ipackets,4
2026-05-19 12:53:46.000,0,rx_nombuf,0
2026-05-19 12:53:46.000,0,opackets,0
2026-05-19 12:53:46.000,0,oerrors,0
2026-05-19 12:53:46.000,0,ierrors,0
2026-05-19 12:53:46.000,n,Value,1
2026-05-19 12:53:47.000,0,ibytes,1143
2026-05-19 12:53:47.000,0,imissed,0
2026-05-19 12:53:47.000,0,obytes,0
2026-05-19 12:53:47.000,0,ipackets,4
2026-05-19 12:53:47.000,0,rx_nombuf,0
2026-05-19 12:53:47.000,0,opackets,0
2026-05-19 12:53:47.000,0,oerrors,0
2026-05-19 12:53:47.000,0,ierrors,0
2026-05-19 12:53:47.000,n,Value,1
2026-05-19 12:53:48.000,0,ibytes,1143
2026-05-19 12:53:48.000,0,imissed,0
2026-05-19 12:53:48.000,0,obytes,0
2026-05-19 12:53:48.000,0,ipackets,4
2026-05-19 12:53:48.000,0,rx_nombuf,0
2026-05-19 12:53:48.000,0,opackets,0
2026-05-19 12:53:48.000,0,oerrors,0
2026-05-19 12:53:48.000,0,ierrors,0
2026-05-19 12:53:48.000,n,Value,1
2026-05-19 12:53:49.000,0,ibytes,1143
2026-05-19 12:53:49.000,0,imissed,0
2026-05-19 12:53:49.000,0,obytes,0
2026-05-19 12:53:49.000,0,ipackets,4
2026-05-19 12:53:49.000,0,rx_nombuf,0
2026-05-19 12:53:49.000,0,opackets,0
2026-05-19 12:53:49.000,0,oerrors,0
2026-05-19 12:53:49.000,0,ierrors,0
2026-05-19 12:53:49.000,n,Value,1
