Time,Port,Metric,Value
2026-05-14 00:25:28.000,0,rx_nombuf,0
2026-05-14 00:25:28.000,0,obytes,0
2026-05-14 00:25:28.000,0,ierrors,0
2026-05-14 00:25:28.000,0,ipackets,3
2026-05-14 00:25:28.000,0,oerrors,0
2026-05-14 00:25:28.000,0,opackets,0
2026-05-14 00:25:28.000,0,imissed,0
2026-05-14 00:25:28.000,0,ibytes,810
2026-05-14 00:25:28.000,n,Value,1
2026-05-14 00:25:29.000,0,rx_nombuf,0
2026-05-14 00:25:29.000,0,obytes,0
2026-05-14 00:25:29.000,0,ierrors,0
2026-05-14 00:25:29.000,0,ipackets,3
2026-05-14 00:25:29.000,0,oerrors,0
2026-05-14 00:25:29.000,0,opackets,0
2026-05-14 00:25:29.000,0,imissed,0
2026-05-14 00:25:29.000,0,ibytes,810
2026-05-14 00:25:29.000,n,Value,1
2026-05-14 00:25:30.000,0,rx_nombuf,0
2026-05-14 00:25:30.000,0,obytes,0
2026-05-14 00:25:30.000,0,ierrors,0
2026-05-14 00:25:30.000,0,ipackets,3
2026-05-14 00:25:30.000,0,oerrors,0
2026-05-14 00:25:30.000,0,opackets,0
2026-05-14 00:25:30.000,0,imissed,0
2026-05-14 00:25:30.000,0,ibytes,810
2026-05-14 00:25:30.000,n,Value,1
2026-05-14 00:25:31.000,0,rx_nombuf,0
2026-05-14 00:25:31.000,0,obytes,0
2026-05-14 00:25:31.000,0,ierrors,0
2026-05-14 00:25:31.000,0,ipackets,3
2026-05-14 00:25:31.000,0,oerrors,0
2026-05-14 00:25:31.000,0,opackets,0
2026-05-14 00:25:31.000,0,imissed,0
2026-05-14 00:25:31.000,0,ibytes,810
2026-05-14 00:25:31.000,n,Value,1
2026-05-14 00:25:32.000,0,rx_nombuf,0
2026-05-14 00:25:32.000,0,obytes,0
2026-05-14 00:25:32.000,0,ierrors,0
2026-05-14 00:25:32.000,0,ipackets,3
2026-05-14 00:25:32.000,0,oerrors,0
2026-05-14 00:25:32.000,0,opackets,0
2026-05-14 00:25:32.000,0,imissed,0
2026-05-14 00:25:32.000,0,ibytes,810
