Time,Port,Metric,Value
2026-05-19 12:34:39.000,1,opackets,0
2026-05-19 12:34:39.000,1,ibytes,1143
2026-05-19 12:34:39.000,1,ipackets,4
2026-05-19 12:34:39.000,1,obytes,0
2026-05-19 12:34:39.000,1,rx_nombuf,0
2026-05-19 12:34:39.000,1,imissed,0
2026-05-19 12:34:39.000,1,oerrors,0
2026-05-19 12:34:39.000,1,ierrors,0
2026-05-19 12:34:39.000,0,opackets,0
2026-05-19 12:34:39.000,0,ibytes,333
2026-05-19 12:34:39.000,0,ipackets,1
2026-05-19 12:34:39.000,0,obytes,0
2026-05-19 12:34:39.000,0,rx_nombuf,0
2026-05-19 12:34:39.000,0,imissed,0
2026-05-19 12:34:39.000,0,oerrors,0
2026-05-19 12:34:39.000,0,ierrors,0
2026-05-19 12:34:39.000,n,Value,2
2026-05-19 12:34:40.000,1,opackets,0
2026-05-19 12:34:40.000,1,ibytes,1143
2026-05-19 12:34:40.000,1,ipackets,4
2026-05-19 12:34:40.000,1,obytes,0
2026-05-19 12:34:40.000,1,rx_nombuf,0
2026-05-19 12:34:40.000,1,imissed,0
2026-05-19 12:34:40.000,1,oerrors,0
2026-05-19 12:34:40.000,1,ierrors,0
2026-05-19 12:34:40.000,0,opackets,0
2026-05-19 12:34:40.000,0,ibytes,606
2026-05-19 12:34:40.000,0,ipackets,2
2026-05-19 12:34:40.000,0,obytes,0
2026-05-19 12:34:40.000,0,rx_nombuf,0
2026-05-19 12:34:40.000,0,imissed,0
2026-05-19 12:34:40.000,0,oerrors,0
2026-05-19 12:34:40.000,0,ierrors,0
2026-05-19 12:34:40.000,n,Value,2
2026-05-19 12:34:41.000,1,opackets,0
2026-05-19 12:34:41.000,1,ibytes,1143
2026-05-19 12:34:41.000,1,ipackets,4
2026-05-19 12:34:41.000,1,obytes,0
2026-05-19 12:34:41.000,1,rx_nombuf,0
2026-05-19 12:34:41.000,1,imissed,0
2026-05-19 12:34:41.000,1,oerrors,0
2026-05-19 12:34:41.000,1,ierrors,0
2026-05-19 12:34:41.000,0,opackets,0
2026-05-19 12:34:41.000,0,ibytes,606
2026-05-19 12:34:41.000,0,ipackets,2
2026-05-19 12:34:41.000,0,obytes,0
2026-05-19 12:34:41.000,0,rx_nombuf,0
2026-05-19 12:34:41.000,0,imissed,0
2026-05-19 12:34:41.000,0,oerrors,0
2026-05-19 12:34:41.000,0,ierrors,0
2026-05-19 12:34:41.000,n,Value,2
2026-05-19 12:34:42.000,1,opackets,0
2026-05-19 12:34:42.000,1,ibytes,1143
2026-05-19 12:34:42.000,1,ipackets,4
2026-05-19 12:34:42.000,1,obytes,0
2026-05-19 12:34:42.000,1,rx_nombuf,0
2026-05-19 12:34:42.000,1,imissed,0
2026-05-19 12:34:42.000,1,oerrors,0
2026-05-19 12:34:42.000,1,ierrors,0
2026-05-19 12:34:42.000,0,opackets,0
2026-05-19 12:34:42.000,0,ibytes,606
2026-05-19 12:34:42.000,0,ipackets,2
2026-05-19 12:34:42.000,0,obytes,0
2026-05-19 12:34:42.000,0,rx_nombuf,0
2026-05-19 12:34:42.000,0,imissed,0
2026-05-19 12:34:42.000,0,oerrors,0
2026-05-19 12:34:42.000,0,ierrors,0
2026-05-19 12:34:42.000,n,Value,2
2026-05-19 12:34:43.000,1,opackets,0
2026-05-19 12:34:43.000,1,ibytes,1143
2026-05-19 12:34:43.000,1,ipackets,4
2026-05-19 12:34:43.000,1,obytes,0
2026-05-19 12:34:43.000,1,rx_nombuf,0
2026-05-19 12:34:43.000,1,imissed,0
2026-05-19 12:34:43.000,1,oerrors,0
2026-05-19 12:34:43.000,1,ierrors,0
2026-05-19 12:34:43.000,0,opackets,0
2026-05-19 12:34:43.000,0,ibytes,606
2026-05-19 12:34:43.000,0,ipackets,2
2026-05-19 12:34:43.000,0,obytes,0
2026-05-19 12:34:43.000,0,rx_nombuf,0
2026-05-19 12:34:43.000,0,imissed,0
2026-05-19 12:34:43.000,0,oerrors,0
2026-05-19 12:34:43.000,0,ierrors,0
2026-05-19 12:34:43.000,n,Value,2
2026-05-19 12:34:44.000,1,opackets,0
2026-05-19 12:34:44.000,1,ibytes,1143
2026-05-19 12:34:44.000,1,ipackets,4
2026-05-19 12:34:44.000,1,obytes,0
2026-05-19 12:34:44.000,1,rx_nombuf,0
2026-05-19 12:34:44.000,1,imissed,0
2026-05-19 12:34:44.000,1,oerrors,0
2026-05-19 12:34:44.000,1,ierrors,0
2026-05-19 12:34:44.000,0,opackets,0
2026-05-19 12:34:44.000,0,ibytes,606
2026-05-19 12:34:44.000,0,ipackets,2
2026-05-19 12:34:44.000,0,obytes,0
2026-05-19 12:34:44.000,0,rx_nombuf,0
2026-05-19 12:34:44.000,0,imissed,0
2026-05-19 12:34:44.000,0,oerrors,0
2026-05-19 12:34:44.000,0,ierrors,0
2026-05-19 12:34:44.000,n,Value,2
2026-05-19 12:34:45.000,1,opackets,0
2026-05-19 12:34:45.000,1,ibytes,1143
2026-05-19 12:34:45.000,1,ipackets,4
2026-05-19 12:34:45.000,1,obytes,0
2026-05-19 12:34:45.000,1,rx_nombuf,0
2026-05-19 12:34:45.000,1,imissed,0
2026-05-19 12:34:45.000,1,oerrors,0
2026-05-19 12:34:45.000,1,ierrors,0
2026-05-19 12:34:45.000,0,opackets,0
2026-05-19 12:34:45.000,0,ibytes,606
2026-05-19 12:34:45.000,0,ipackets,2
2026-05-19 12:34:45.000,0,obytes,0
2026-05-19 12:34:45.000,0,rx_nombuf,0
2026-05-19 12:34:45.000,0,imissed,0
2026-05-19 12:34:45.000,0,oerrors,0
2026-05-19 12:34:45.000,0,ierrors,0
2026-05-19 12:34:45.000,n,Value,2
2026-05-19 12:34:46.000,1,opackets,0
2026-05-19 12:34:46.000,1,ibytes,1143
2026-05-19 12:34:46.000,1,ipackets,4
2026-05-19 12:34:46.000,1,obytes,0
2026-05-19 12:34:46.000,1,rx_nombuf,0
2026-05-19 12:34:46.000,1,imissed,0
2026-05-19 12:34:46.000,1,oerrors,0
2026-05-19 12:34:46.000,1,ierrors,0
2026-05-19 12:34:46.000,0,opackets,0
2026-05-19 12:34:46.000,0,ibytes,606
2026-05-19 12:34:46.000,0,ipackets,2
2026-05-19 12:34:46.000,0,obytes,0
2026-05-19 12:34:46.000,0,rx_nombuf,0
2026-05-19 12:34:46.000,0,imissed,0
2026-05-19 12:34:46.000,0,oerrors,0
2026-05-19 12:34:46.000,0,ierrors,0
2026-05-19 12:34:46.000,n,Value,2
2026-05-19 12:34:47.000,1,opackets,0
2026-05-19 12:34:47.000,1,ibytes,1143
2026-05-19 12:34:47.000,1,ipackets,4
2026-05-19 12:34:47.000,1,obytes,0
2026-05-19 12:34:47.000,1,rx_nombuf,0
2026-05-19 12:34:47.000,1,imissed,0
2026-05-19 12:34:47.000,1,oerrors,0
2026-05-19 12:34:47.000,1,ierrors,0
2026-05-19 12:34:47.000,0,opackets,0
2026-05-19 12:34:47.000,0,ibytes,606
2026-05-19 12:34:47.000,0,ipackets,2
2026-05-19 12:34:47.000,0,obytes,0
2026-05-19 12:34:47.000,0,rx_nombuf,0
2026-05-19 12:34:47.000,0,imissed,0
2026-05-19 12:34:47.000,0,oerrors,0
2026-05-19 12:34:47.000,0,ierrors,0
2026-05-19 12:34:47.000,n,Value,2
2026-05-19 12:34:48.000,1,opackets,0
2026-05-19 12:34:48.000,1,ibytes,1143
2026-05-19 12:34:48.000,1,ipackets,4
2026-05-19 12:34:48.000,1,obytes,0
2026-05-19 12:34:48.000,1,rx_nombuf,0
2026-05-19 12:34:48.000,1,imissed,0
2026-05-19 12:34:48.000,1,oerrors,0
2026-05-19 12:34:48.000,1,ierrors,0
2026-05-19 12:34:48.000,0,opackets,0
2026-05-19 12:34:48.000,0,ibytes,606
2026-05-19 12:34:48.000,0,ipackets,2
2026-05-19 12:34:48.000,0,obytes,0
2026-05-19 12:34:48.000,0,rx_nombuf,0
2026-05-19 12:34:48.000,0,imissed,0
2026-05-19 12:34:48.000,0,oerrors,0
2026-05-19 12:34:48.000,0,ierrors,0
2026-05-19 12:34:48.000,n,Value,2
2026-05-19 12:34:49.000,1,opackets,0
2026-05-19 12:34:49.000,1,ibytes,1143
2026-05-19 12:34:49.000,1,ipackets,4
2026-05-19 12:34:49.000,1,obytes,0
2026-05-19 12:34:49.000,1,rx_nombuf,0
2026-05-19 12:34:49.000,1,imissed,0
2026-05-19 12:34:49.000,1,oerrors,0
2026-05-19 12:34:49.000,1,ierrors,0
2026-05-19 12:34:49.000,0,opackets,0
2026-05-19 12:34:49.000,0,ibytes,1147
2026-05-19 12:34:49.000,0,ipackets,4
2026-05-19 12:34:49.000,0,obytes,0
2026-05-19 12:34:49.000,0,rx_nombuf,0
2026-05-19 12:34:49.000,0,imissed,0
2026-05-19 12:34:49.000,0,oerrors,0
2026-05-19 12:34:49.000,0,ierrors,0
2026-05-19 12:34:49.000,n,Value,2
2026-05-19 12:34:50.000,1,opackets,0
2026-05-19 12:34:50.000,1,ibytes,1143
2026-05-19 12:34:50.000,1,ipackets,4
2026-05-19 12:34:50.000,1,obytes,0
2026-05-19 12:34:50.000,1,rx_nombuf,0
2026-05-19 12:34:50.000,1,imissed,0
2026-05-19 12:34:50.000,1,oerrors,0
2026-05-19 12:34:50.000,1,ierrors,0
2026-05-19 12:34:50.000,0,opackets,0
2026-05-19 12:34:50.000,0,ibytes,1147
2026-05-19 12:34:50.000,0,ipackets,4
2026-05-19 12:34:50.000,0,obytes,0
