Time,Port,Metric,Value
2026-05-28 15:53:31.000,0,rx_nombuf,0
2026-05-28 15:53:31.000,0,opackets,0
2026-05-28 15:53:31.000,0,obytes,0
2026-05-28 15:53:31.000,0,oerrors,0
2026-05-28 15:53:31.000,0,ibytes,1143
2026-05-28 15:53:31.000,0,imissed,0
2026-05-28 15:53:31.000,0,ierrors,0
2026-05-28 15:53:31.000,0,ipackets,4
2026-05-28 15:53:31.000,n,Value,1
2026-05-28 15:53:32.000,0,rx_nombuf,0
2026-05-28 15:53:32.000,0,opackets,0
2026-05-28 15:53:32.000,0,obytes,0
2026-05-28 15:53:32.000,0,oerrors,0
2026-05-28 15:53:32.000,0,ibytes,1143
2026-05-28 15:53:32.000,0,imissed,0
2026-05-28 15:53:32.000,0,ierrors,0
2026-05-28 15:53:32.000,0,ipackets,4
2026-05-28 15:53:32.000,n,Value,1
2026-05-28 15:53:33.000,0,rx_nombuf,0
2026-05-28 15:53:33.000,0,opackets,0
2026-05-28 15:53:33.000,0,obytes,0
2026-05-28 15:53:33.000,0,oerrors,0
2026-05-28 15:53:33.000,0,ibytes,1143
2026-05-28 15:53:33.000,0,imissed,0
2026-05-28 15:53:33.000,0,ierrors,0
2026-05-28 15:53:33.000,0,ipackets,4
2026-05-28 15:53:33.000,n,Value,1
2026-05-28 15:53:34.000,0,rx_nombuf,0
2026-05-28 15:53:34.000,0,opackets,0
2026-05-28 15:53:34.000,0,obytes,0
2026-05-28 15:53:34.000,0,oerrors,0
2026-05-28 15:53:34.000,0,ibytes,1143
2026-05-28 15:53:34.000,0,imissed,0
2026-05-28 15:53:34.000,0,ierrors,0
2026-05-28 15:53:34.000,0,ipackets,4
2026-05-28 15:53:34.000,n,Value,1
2026-05-28 15:53:35.000,0,rx_nombuf,0
2026-05-28 15:53:35.000,0,opackets,0
2026-05-28 15:53:35.000,0,obytes,0
2026-05-28 15:53:35.000,0,oerrors,0
2026-05-28 15:53:35.000,0,ibytes,1143
