Time,Port,Metric,Value
2026-05-18 13:20:27.000,0,ierrors,0
2026-05-18 13:20:27.000,0,obytes,0
2026-05-18 13:20:27.000,0,rx_nombuf,0
2026-05-18 13:20:27.000,0,ipackets,3
2026-05-18 13:20:27.000,0,oerrors,0
2026-05-18 13:20:27.000,0,opackets,0
2026-05-18 13:20:27.000,0,imissed,0
2026-05-18 13:20:27.000,0,ibytes,871
2026-05-18 13:20:27.000,n,Value,1
2026-05-18 13:20:28.000,0,ierrors,0
2026-05-18 13:20:28.000,0,obytes,0
2026-05-18 13:20:28.000,0,rx_nombuf,0
2026-05-18 13:20:28.000,0,ipackets,3
2026-05-18 13:20:28.000,0,oerrors,0
2026-05-18 13:20:28.000,0,opackets,0
2026-05-18 13:20:28.000,0,imissed,0
2026-05-18 13:20:28.000,0,ibytes,871
2026-05-18 13:20:28.000,n,Value,1
2026-05-18 13:20:29.000,0,ierrors,0
2026-05-18 13:20:29.000,0,obytes,0
2026-05-18 13:20:29.000,0,rx_nombuf,0
2026-05-18 13:20:29.000,0,ipackets,3
2026-05-18 13:20:29.000,0,oerrors,0
2026-05-18 13:20:29.000,0,opackets,0
2026-05-18 13:20:29.000,0,imissed,0
2026-05-18 13:20:29.000,0,ibytes,871
2026-05-18 13:20:29.000,n,Value,1
2026-05-18 13:20:30.000,0,ierrors,0
2026-05-18 13:20:30.000,0,obytes,0
2026-05-18 13:20:30.000,0,rx_nombuf,0
2026-05-18 13:20:30.000,0,ipackets,3
2026-05-18 13:20:30.000,0,oerrors,0
2026-05-18 13:20:30.000,0,opackets,0
2026-05-18 13:20:30.000,0,imissed,0
2026-05-18 13:20:30.000,0,ibytes,871
2026-05-18 13:20:30.000,n,Value,1
2026-05-18 13:20:31.000,0,ierrors,0
2026-05-18 13:20:31.000,0,obytes,0
2026-05-18 13:20:31.000,0,rx_nombuf,0
2026-05-18 13:20:31.000,0,ipackets,4
2026-05-18 13:20:31.000,0,oerrors,0
