Time,Port,Metric,Value
2026-05-20 17:30:14.000,0,ibytes,2142
2026-05-20 17:30:14.000,0,opackets,0
2026-05-20 17:30:14.000,0,imissed,0
2026-05-20 17:30:14.000,0,ipackets,7
2026-05-20 17:30:14.000,0,ierrors,0
2026-05-20 17:30:14.000,0,obytes,0
2026-05-20 17:30:14.000,0,oerrors,0
2026-05-20 17:30:14.000,0,rx_nombuf,0
2026-05-20 17:30:14.000,n,Value,1
2026-05-20 17:30:15.000,0,ibytes,2142
2026-05-20 17:30:15.000,0,opackets,0
2026-05-20 17:30:15.000,0,imissed,0
2026-05-20 17:30:15.000,0,ipackets,7
2026-05-20 17:30:15.000,0,ierrors,0
2026-05-20 17:30:15.000,0,obytes,0
2026-05-20 17:30:15.000,0,oerrors,0
2026-05-20 17:30:15.000,0,rx_nombuf,0
2026-05-20 17:30:15.000,n,Value,1
2026-05-20 17:30:16.000,0,ibytes,2142
2026-05-20 17:30:16.000,0,opackets,0
2026-05-20 17:30:16.000,0,imissed,0
2026-05-20 17:30:16.000,0,ipackets,7
2026-05-20 17:30:16.000,0,ierrors,0
2026-05-20 17:30:16.000,0,obytes,0
2026-05-20 17:30:16.000,0,oerrors,0
2026-05-20 17:30:16.000,0,rx_nombuf,0
2026-05-20 17:30:16.000,n,Value,1
2026-05-20 17:30:17.000,0,ibytes,2142
2026-05-20 17:30:17.000,0,opackets,0
2026-05-20 17:30:17.000,0,imissed,0
2026-05-20 17:30:17.000,0,ipackets,7
2026-05-20 17:30:17.000,0,ierrors,0
2026-05-20 17:30:17.000,0,obytes,0
2026-05-20 17:30:17.000,0,oerrors,0
2026-05-20 17:30:17.000,0,rx_nombuf,0
2026-05-20 17:30:17.000,n,Value,1
2026-05-20 17:30:18.000,0,ibytes,2142
2026-05-20 17:30:18.000,0,opackets,0
2026-05-20 17:30:18.000,0,imissed,0
2026-05-20 17:30:18.000,0,ipackets,7
2026-05-20 17:30:18.000,0,ierrors,0
2026-05-20 17:30:18.000,0,obytes,0
2026-05-20 17:30:18.000,0,oerrors,0
2026-05-20 17:30:18.000,0,rx_nombuf,0
2026-05-20 17:30:18.000,n,Value,1
2026-05-20 17:30:19.000,0,ibytes,2142
2026-05-20 17:30:19.000,0,opackets,0
2026-05-20 17:30:19.000,0,imissed,0
2026-05-20 17:30:19.000,0,ipackets,7
2026-05-20 17:30:19.000,0,ierrors,0
2026-05-20 17:30:19.000,0,obytes,0
2026-05-20 17:30:19.000,0,oerrors,0
2026-05-20 17:30:19.000,0,rx_nombuf,0
2026-05-20 17:30:19.000,n,Value,1
2026-05-20 17:30:20.000,0,ibytes,2142
2026-05-20 17:30:20.000,0,opackets,0
2026-05-20 17:30:20.000,0,imissed,0
2026-05-20 17:30:20.000,0,ipackets,7
2026-05-20 17:30:20.000,0,ierrors,0
2026-05-20 17:30:20.000,0,obytes,0
2026-05-20 17:30:20.000,0,oerrors,0
2026-05-20 17:30:20.000,0,rx_nombuf,0
2026-05-20 17:30:20.000,n,Value,1
2026-05-20 17:30:21.000,0,ibytes,2142
2026-05-20 17:30:21.000,0,opackets,0
2026-05-20 17:30:21.000,0,imissed,0
2026-05-20 17:30:21.000,0,ipackets,7
2026-05-20 17:30:21.000,0,ierrors,0
2026-05-20 17:30:21.000,0,obytes,0
2026-05-20 17:30:21.000,0,oerrors,0
2026-05-20 17:30:21.000,0,rx_nombuf,0
2026-05-20 17:30:21.000,n,Value,1
2026-05-20 17:30:22.000,0,ibytes,2142
2026-05-20 17:30:22.000,0,opackets,0
2026-05-20 17:30:22.000,0,imissed,0
2026-05-20 17:30:22.000,0,ipackets,7
2026-05-20 17:30:22.000,0,ierrors,0
2026-05-20 17:30:22.000,0,obytes,0
2026-05-20 17:30:22.000,0,oerrors,0
2026-05-20 17:30:22.000,0,rx_nombuf,0
2026-05-20 17:30:22.000,n,Value,1
2026-05-20 17:30:23.000,0,ibytes,2142
2026-05-20 17:30:23.000,0,opackets,0
2026-05-20 17:30:23.000,0,imissed,0
2026-05-20 17:30:23.000,0,ipackets,7
2026-05-20 17:30:23.000,0,ierrors,0
2026-05-20 17:30:23.000,0,obytes,0
2026-05-20 17:30:23.000,0,oerrors,0
2026-05-20 17:30:23.000,0,rx_nombuf,0
2026-05-20 17:30:23.000,n,Value,1
2026-05-20 17:30:24.000,0,ibytes,2142
2026-05-20 17:30:24.000,0,opackets,0
2026-05-20 17:30:24.000,0,imissed,0
2026-05-20 17:30:24.000,0,ipackets,7
2026-05-20 17:30:24.000,0,ierrors,0
2026-05-20 17:30:24.000,0,obytes,0
2026-05-20 17:30:24.000,0,oerrors,0
2026-05-20 17:30:24.000,0,rx_nombuf,0
2026-05-20 17:30:24.000,n,Value,1
2026-05-20 17:30:25.000,0,ibytes,2142
2026-05-20 17:30:25.000,0,opackets,0
2026-05-20 17:30:25.000,0,imissed,0
2026-05-20 17:30:25.000,0,ipackets,7
2026-05-20 17:30:25.000,0,ierrors,0
2026-05-20 17:30:25.000,0,obytes,0
2026-05-20 17:30:25.000,0,oerrors,0
2026-05-20 17:30:25.000,0,rx_nombuf,0
2026-05-20 17:30:25.000,n,Value,1
2026-05-20 17:30:26.000,0,ibytes,2475
2026-05-20 17:30:26.000,0,opackets,0
2026-05-20 17:30:26.000,0,imissed,0
2026-05-20 17:30:26.000,0,ipackets,8
2026-05-20 17:30:26.000,0,ierrors,0
2026-05-20 17:30:26.000,0,obytes,0
2026-05-20 17:30:26.000,0,oerrors,0
2026-05-20 17:30:26.000,0,rx_nombuf,0
2026-05-20 17:30:26.000,n,Value,1
2026-05-20 17:30:27.000,0,ibytes,2475
2026-05-20 17:30:27.000,0,opackets,0
2026-05-20 17:30:27.000,0,imissed,0
2026-05-20 17:30:27.000,0,ipackets,8
2026-05-20 17:30:27.000,0,ierrors,0
2026-05-20 17:30:27.000,0,obytes,0
2026-05-20 17:30:27.000,0,oerrors,0
2026-05-20 17:30:27.000,0,rx_nombuf,0
2026-05-20 17:30:27.000,n,Value,1
2026-05-20 17:30:28.000,0,ibytes,2475
2026-05-20 17:30:28.000,0,opackets,0
2026-05-20 17:30:28.000,0,imissed,0
2026-05-20 17:30:28.000,0,ipackets,8
2026-05-20 17:30:28.000,0,ierrors,0
2026-05-20 17:30:28.000,0,obytes,0
2026-05-20 17:30:28.000,0,oerrors,0
2026-05-20 17:30:28.000,0,rx_nombuf,0
2026-05-20 17:30:28.000,n,Value,1
2026-05-20 17:30:29.000,0,ibytes,2475
2026-05-20 17:30:29.000,0,opackets,0
2026-05-20 17:30:29.000,0,imissed,0
2026-05-20 17:30:29.000,0,ipackets,8
2026-05-20 17:30:29.000,0,ierrors,0
2026-05-20 17:30:29.000,0,obytes,0
2026-05-20 17:30:29.000,0,oerrors,0
2026-05-20 17:30:29.000,0,rx_nombuf,0
2026-05-20 17:30:29.000,n,Value,1
2026-05-20 17:30:30.000,0,ibytes,2475
2026-05-20 17:30:30.000,0,opackets,0
2026-05-20 17:30:30.000,0,imissed,0
2026-05-20 17:30:30.000,0,ipackets,8
2026-05-20 17:30:30.000,0,ierrors,0
2026-05-20 17:30:30.000,0,obytes,0
2026-05-20 17:30:30.000,0,oerrors,0
2026-05-20 17:30:30.000,0,rx_nombuf,0
2026-05-20 17:30:30.000,n,Value,1
2026-05-20 17:30:31.000,0,ibytes,2475
2026-05-20 17:30:31.000,0,opackets,0
2026-05-20 17:30:31.000,0,imissed,0
2026-05-20 17:30:31.000,0,ipackets,8
2026-05-20 17:30:31.000,0,ierrors,0
2026-05-20 17:30:31.000,0,obytes,0
2026-05-20 17:30:31.000,0,oerrors,0
2026-05-20 17:30:31.000,0,rx_nombuf,0
2026-05-20 17:30:31.000,n,Value,1
2026-05-20 17:30:32.000,0,ibytes,2475
2026-05-20 17:30:32.000,0,opackets,0
2026-05-20 17:30:32.000,0,imissed,0
2026-05-20 17:30:32.000,0,ipackets,8
2026-05-20 17:30:32.000,0,ierrors,0
2026-05-20 17:30:32.000,0,obytes,0
2026-05-20 17:30:32.000,0,oerrors,0
2026-05-20 17:30:32.000,0,rx_nombuf,0
2026-05-20 17:30:32.000,n,Value,1
2026-05-20 17:30:33.000,0,ibytes,2475
2026-05-20 17:30:33.000,0,opackets,0
2026-05-20 17:30:33.000,0,imissed,0
2026-05-20 17:30:33.000,0,ipackets,8
2026-05-20 17:30:33.000,0,ierrors,0
2026-05-20 17:30:33.000,0,obytes,0
2026-05-20 17:30:33.000,0,oerrors,0
2026-05-20 17:30:33.000,0,rx_nombuf,0
2026-05-20 17:30:33.000,n,Value,1
2026-05-20 17:30:34.000,0,ibytes,2475
2026-05-20 17:30:34.000,0,opackets,0
2026-05-20 17:30:34.000,0,imissed,0
2026-05-20 17:30:34.000,0,ipackets,8
2026-05-20 17:30:34.000,0,ierrors,0
2026-05-20 17:30:34.000,0,obytes,0
2026-05-20 17:30:34.000,0,oerrors,0
2026-05-20 17:30:34.000,0,rx_nombuf,0
2026-05-20 17:30:34.000,n,Value,1
2026-05-20 17:30:35.000,0,ibytes,2475
2026-05-20 17:30:35.000,0,opackets,0
2026-05-20 17:30:35.000,0,imissed,0
2026-05-20 17:30:35.000,0,ipackets,8
2026-05-20 17:30:35.000,0,ierrors,0
2026-05-20 17:30:35.000,0,obytes,0
2026-05-20 17:30:35.000,0,oerrors,0
2026-05-20 17:30:35.000,0,rx_nombuf,0
2026-05-20 17:30:35.000,n,Value,1
2026-05-20 17:30:36.000,0,ibytes,2475
2026-05-20 17:30:36.000,0,opackets,0
2026-05-20 17:30:36.000,0,imissed,0
2026-05-20 17:30:36.000,0,ipackets,8
2026-05-20 17:30:36.000,0,ierrors,0
2026-05-20 17:30:36.000,0,obytes,0
2026-05-20 17:30:36.000,0,oerrors,0
2026-05-20 17:30:36.000,0,rx_nombuf,0
2026-05-20 17:30:36.000,n,Value,1
2026-05-20 17:30:37.000,0,ibytes,2475
2026-05-20 17:30:37.000,0,opackets,0
2026-05-20 17:30:37.000,0,imissed,0
2026-05-20 17:30:37.000,0,ipackets,8
2026-05-20 17:30:37.000,0,ierrors,0
2026-05-20 17:30:37.000,0,obytes,0
2026-05-20 17:30:37.000,0,oerrors,0
2026-05-20 17:30:37.000,0,rx_nombuf,0
2026-05-20 17:30:37.000,n,Value,1
2026-05-20 17:30:38.000,0,ibytes,2808
2026-05-20 17:30:38.000,0,opackets,0
2026-05-20 17:30:38.000,0,imissed,0
2026-05-20 17:30:38.000,0,ipackets,9
2026-05-20 17:30:38.000,0,ierrors,0
2026-05-20 17:30:38.000,0,obytes,0
2026-05-20 17:30:38.000,0,oerrors,0
2026-05-20 17:30:38.000,0,rx_nombuf,0
2026-05-20 17:30:38.000,n,Value,1
2026-05-20 17:30:39.000,0,ibytes,2808
2026-05-20 17:30:39.000,0,opackets,0
2026-05-20 17:30:39.000,0,imissed,0
2026-05-20 17:30:39.000,0,ipackets,9
2026-05-20 17:30:39.000,0,ierrors,0
2026-05-20 17:30:39.000,0,obytes,0
2026-05-20 17:30:39.000,0,oerrors,0
2026-05-20 17:30:39.000,0,rx_nombuf,0
2026-05-20 17:30:39.000,n,Value,1
2026-05-20 17:30:40.000,0,ibytes,2808
2026-05-20 17:30:40.000,0,opackets,0
2026-05-20 17:30:40.000,0,imissed,0
2026-05-20 17:30:40.000,0,ipackets,9
2026-05-20 17:30:40.000,0,ierrors,0
2026-05-20 17:30:40.000,0,obytes,0
2026-05-20 17:30:40.000,0,oerrors,0
2026-05-20 17:30:40.000,0,rx_nombuf,0
2026-05-20 17:30:40.000,n,Value,1
2026-05-20 17:30:41.000,0,ibytes,3141
2026-05-20 17:30:41.000,0,opackets,0
2026-05-20 17:30:41.000,0,imissed,0
2026-05-20 17:30:41.000,0,ipackets,10
2026-05-20 17:30:41.000,0,ierrors,0
2026-05-20 17:30:41.000,0,obytes,0
2026-05-20 17:30:41.000,0,oerrors,0
2026-05-20 17:30:41.000,0,rx_nombuf,0
2026-05-20 17:30:41.000,n,Value,1
2026-05-20 17:30:42.000,0,ibytes,3141
2026-05-20 17:30:42.000,0,opackets,0
2026-05-20 17:30:42.000,0,imissed,0
2026-05-20 17:30:42.000,0,ipackets,10
2026-05-20 17:30:42.000,0,ierrors,0
2026-05-20 17:30:42.000,0,obytes,0
2026-05-20 17:30:42.000,0,oerrors,0
2026-05-20 17:30:42.000,0,rx_nombuf,0
2026-05-20 17:30:42.000,n,Value,1
2026-05-20 17:30:43.000,0,ibytes,3413
2026-05-20 17:30:43.000,0,opackets,0
2026-05-20 17:30:43.000,0,imissed,0
2026-05-20 17:30:43.000,0,ipackets,11
2026-05-20 17:30:43.000,0,ierrors,0
2026-05-20 17:30:43.000,0,obytes,0
2026-05-20 17:30:43.000,0,oerrors,0
2026-05-20 17:30:43.000,0,rx_nombuf,0
